Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2021-05-26,41.3647,44.3194,41.3647,44.3194,18945416.806669
2021-05-27,44.3194,44.3194,43.236,43.3345,6113420.9361489
2021-05-28,43.9057,44.1667,42.9602,43.9697,2883521.4719155
2021-05-31,43.9697,43.9697,42.9652,43.3345,932165.06437375
2021-06-01,43.3246,43.6201,43.039,43.3345,921744.4518517
2021-06-02,43.3345,43.4281,42.7189,43.0735,236034.03189376
2021-06-04,43.0883,43.3296,42.8913,43.1818,588151.83933277
2021-06-07,43.172,43.5758,43.044,43.236,727146.13820916
2021-06-08,43.3345,43.5659,43.236,43.236,967910.72001428
2021-06-09,43.236,43.5167,43.1572,43.2409,641482.46898376
2021-06-10,43.3345,43.4231,42.8421,43.0341,744787.97223144
2021-06-11,42.9405,43.2163,42.8125,42.9405,296598.06733323
2021-06-14,42.8913,43.172,41.8572,42.5466,1248634.6904782
2021-06-15,42.7436,42.7436,41.867,42.2019,600150.31718263
2021-06-16,42.3496,42.8371,41.5617,42.8371,450916.13939316
2021-06-17,42.6451,43.2163,41.9114,43.1277,774920.73242016
2021-06-18,43.0587,43.3837,42.4481,43.3296,305891.63319256
2021-06-21,43.3148,43.6201,42.6648,43.3739,179673.57589903
2021-06-22,43.3345,45.1023,43.236,44.8611,691684.7826277
2021-06-23,44.93,46.2891,44.4376,46.2399,442408.46012567
2021-06-24,46.2399,50.8589,45.7967,48.8203,575589.83815156
2021-06-25,47.9634,50.4748,47.9634,49.7362,1241735.3372591
2021-06-28,49.815,51.1544,49.5097,50.5241,1087247.7005211
2021-06-29,50.5241,51.1544,49.746,50.2286,610528.28469582
2021-06-30,49.8445,50.2286,47.7861,48.2589,1311123.8434605
2021-07-01,48.2589,49.7362,47.5695,49.5491,720976.82692747
2021-07-02,49.7362,51.1052,49.4112,50.6226,1522602.4731099
2021-07-05,51.0165,51.9718,50.6226,51.0953,174316.55050038
2021-07-06,51.2135,52.0408,50.8195,50.8392,260838.19668974
2021-07-07,50.9279,52.0999,50.7998,51.7059,1299141.6113283
2021-07-08,52.0014,52.0014,50.7211,51.2135,276631.06497075
2021-07-09,51.4105,51.4105,50.6718,51.0067,163049.12994527
2021-07-12,51.2036,51.5582,50.9673,51.44,32816.349674816
2021-07-13,51.4499,52.612,51.4499,52.3264,161781.96396772
2021-07-14,52.4446,53.0158,50.8885,51.2135,512512.79326144
2021-07-15,52.1885,52.1885,50.8195,51.2135,1107372.0832734
2021-07-16,51.2135,52.612,51.2135,52.0999,72899.611930779
2021-07-19,52.0999,52.1984,49.7756,52.1984,252781.33608734
2021-07-20,51.8044,52.9272,51.312,52.2378,371964.99763374
2021-07-21,52.2378,53.2325,52.2378,52.937,310065.76727403
2021-07-22,52.6908,54.1386,52.1984,53.7348,381228.10277246
2021-07-23,54.1484,54.1484,53.1931,53.5083,318761.28765197
2021-07-26,53.6067,54.1484,52.6908,53.3999,284505.16124947
2021-07-27,53.5772,54.4636,53.4295,53.9121,268117.29355914
2021-07-28,54.1189,54.6212,53.4886,53.6757,257738.31068859
2021-07-29,54.2272,54.2272,51.8044,53.2817,197042.27879314
2021-07-30,53.2817,53.9514,52.1984,52.6908,177726.12049444
2021-08-02,53.1734,54.9954,52.8287,54.0401,574685.15474932
2021-08-03,54.178,54.6507,53.3901,53.7545,666247.03484295
2021-08-04,53.7545,54.7689,53.528,54.7689,568942.29355623
2021-08-05,54.7689,55.5469,53.6855,55.153,749235.23744108
2021-08-06,55.478,55.478,54.6015,54.9068,80290.398109089
2021-08-09,54.9068,55.3106,53.7348,54.1681,179097.86827943
2021-08-10,54.178,55.2515,54.178,54.2666,630840.50855859
2021-08-11,54.3651,55.0545,54.178,54.2666,1041641.9096178
2021-08-12,54.1681,55.3401,53.9022,54.1681,190484.08564494
2021-08-13,54.3257,56.5712,54.1484,55.2613,377799.24098867
2021-08-16,56.4235,56.4235,54.178,55.153,194992.27229581
2021-08-17,55.153,56.1182,54.6606,55.0939,116322.38452339
2021-08-18,55.153,55.6356,54.6803,55.3697,539491.85350926
2021-08-19,55.3697,56.0197,53.6757,54.828,393997.23685384
2021-08-20,54.828,55.6454,53.7939,54.6606,786717.15415661
2021-08-23,54.8674,55.153,54.2272,54.4734,30923.723567333
2021-08-24,54.4045,54.7393,54.1386,54.6606,38792.743059283
2021-08-25,54.5325,54.6803,54.1681,54.4636,60366.040755471
2021-08-26,54.1681,54.6212,52.7696,54.1681,173974.37507215
2021-08-27,54.0302,54.2568,53.3999,53.3999,73835.771410982
2021-08-30,53.4295,54.6015,53.1931,54.1681,187830.95687946
2021-08-31,54.2962,54.2962,52.3363,52.9863,269556.05492947
2021-09-01,52.9863,53.2719,51.4302,51.9029,509140.79148947
2021-09-02,51.8044,51.9029,49.746,51.2135,241881.4748943
2021-09-03,51.2135,51.2135,50.1597,50.8195,347453.25575565
